Season,team,Games_L,Games_W,PointsScored_L,PointsScored_W,PointsAllowed_L,PointsAllowed_W,Margin_L,Margin_W
1992,1256,8,21,534,1781,603,1423,-69,358
1992,1257,10,18,708,1466,793,1250,-85,216
1992,1258,13,14,1126,1352,1260,1203,-134,149
1992,1259,14,14,952,1056,1081,932,-129,124
1992,1260,16,13,1025,1103,1241,902,-216,201
1992,1261,9,20,668,1872,760,1422,-92,450
1992,1263,15,16,936,1138,1097,963,-161,175
1992,1264,8,23,543,1723,650,1442,-107,281
1992,1265,20,10,1342,850,1507,717,-165,133
1992,1266,13,16,743,1262,870,907,-127,355
1992,1267,21,5,1450,410,1711,378,-261,32
1992,1268,15,14,1138,1212,1300,989,-162,223
1992,1269,4,27,270,2279,326,1849,-56,430
1992,1270,21,6,1458,471,1826,406,-368,65
1992,1271,24,2,1538,152,2116,137,-578,15
1992,1272,10,20,664,1561,753,1352,-89,209
1992,1273,18,10,1215,815,1442,665,-227,150
1992,1274,24,6,1378,401,1692,348,-314,53
1992,1275,7,21,405,1488,493,1237,-88,251
1992,1276,8,20,544,1651,626,1358,-82,293
1992,1277,7,21,463,1630,559,1380,-96,250
1992,1278,15,16,994,1228,1207,933,-213,295
1992,1279,17,10,1301,867,1523,676,-222,191
1992,1280,13,14,942,1127,1120,937,-178,190
1992,1281,8,19,579,1530,673,1189,-94,341
1992,1282,8,17,498,1393,597,1100,-99,293
1992,1283,7,22,379,1489,427,1218,-48,271
1992,1284,9,20,504,1367,583,1116,-79,251
1992,1285,3,25,195,1942,236,1553,-41,389
1992,1286,14,12,1021,998,1156,862,-135,136
1992,1287,15,11,1230,969,1449,833,-219,136
1992,1288,23,6,1594,527,2233,463,-639,64
1992,1290,11,14,798,1292,981,1056,-183,236
1992,1291,22,6,1674,493,1995,442,-321,51
1992,1292,11,12,828,915,936,800,-108,115
1992,1293,12,16,914,1430,1040,1210,-126,220
1992,1296,17,10,1184,822,1351,745,-167,77
1992,1298,22,5,1558,410,1792,334,-234,76
1992,1299,9,16,647,1283,734,1128,-87,155
1992,1301,18,11,1275,949,1495,851,-220,98
1992,1302,20,6,1391,495,1717,451,-326,44
1992,1304,9,19,665,1604,808,1321,-143,283
1992,1305,10,18,753,1599,894,1369,-141,230
1992,1306,21,7,1287,482,1669,455,-382,27
1992,1307,11,18,676,1437,770,1185,-94,252
1992,1308,7,22,478,1750,538,1522,-60,228
1992,1309,14,17,843,1230,987,1035,-144,195
1992,1310,14,14,909,1077,1080,904,-171,173
1992,1311,13,15,855,1181,1068,1044,-213,137
1992,1314,9,21,730,1819,833,1463,-103,356
1992,1317,14,14,1130,1160,1243,987,-113,173
1992,1318,19,9,1201,655,1427,560,-226,95
1992,1319,20,6,1399,456,1841,427,-442,29
1992,1320,18,9,1039,699,1249,607,-210,92
1992,1321,19,7,1208,536,1522,432,-314,104
1992,1322,13,11,1095,1054,1254,885,-159,169
1992,1323,14,14,887,1079,1091,978,-204,101
1992,1325,10,16,649,1190,739,1002,-90,188
1992,1326,5,23,390,1877,416,1464,-26,413
1992,1328,8,18,620,1791,685,1441,-65,350
1992,1329,7,23,445,1762,505,1387,-60,375
1992,1330,14,14,978,1110,1187,1036,-209,74
1992,1332,21,4,1271,300,1713,266,-442,34
1992,1333,16,13,1077,1057,1267,883,-190,174
1992,1334,16,12,1056,950,1211,787,-155,163
1992,1335,10,16,634,1263,720,1069,-86,194
1992,1336,7,21,475,1589,535,1287,-60,302
1992,1337,5,23,348,1778,409,1470,-61,308
1992,1338,15,17,1043,1407,1189,1142,-146,265
1992,1339,17,8,1296,683,1509,602,-213,81
1992,1341,26,,1650,,2562,,-912,
1992,1343,5,20,258,1206,285,913,-27,293
1992,1344,16,14,1151,1102,1284,914,-133,188
1992,1345,14,16,880,1162,1073,954,-193,208
1992,1347,9,18,661,1401,755,1212,-94,189
1992,1348,9,20,650,1628,718,1331,-68,297
1992,1349,11,18,759,1444,848,1154,-89,290
1992,1350,7,22,431,1697,484,1385,-53,312
1992,1351,12,16,761,1242,908,1058,-147,184
1992,1352,11,19,746,1504,867,1260,-121,244
1992,1353,14,15,1034,1271,1172,1036,-138,235
1992,1354,15,13,957,1020,1084,847,-127,173
1992,1356,7,22,471,1687,522,1465,-51,222
1992,1358,25,2,1540,164,2098,150,-558,14
1992,1359,18,10,1017,646,1282,560,-265,86
1992,1360,14,13,847,1008,986,886,-139,122
1992,1361,26,2,1659,173,2045,150,-386,23
1992,1362,16,13,1200,1128,1351,979,-151,149
1992,1363,24,2,1529,119,1881,112,-352,7
1992,1364,8,19,536,1359,632,1164,-96,195
1992,1365,14,13,848,957,1001,831,-153,126
1992,1368,22,6,1576,513,1932,429,-356,84
1992,1369,16,10,1118,787,1316,704,-198,83
1992,1371,8,20,511,1548,585,1299,-74,249
1992,1372,12,13,810,904,913,776,-103,128
1992,1373,10,18,660,1391,800,1173,-140,218
1992,1374,18,9,1134,591,1342,530,-208,61
1992,1375,14,14,1098,1312,1247,1073,-149,239
1992,1376,17,10,1042,761,1209,619,-167,142
1992,1378,8,19,514,1549,630,1329,-116,220
1992,1379,16,12,1122,973,1327,813,-205,160
1992,1380,12,14,957,1395,1105,1182,-148,213
1992,1381,8,16,629,1432,720,1193,-91,239
1992,1382,19,8,1214,601,1547,548,-333,53
1992,1383,14,15,887,1183,1038,1082,-151,101
1992,1384,16,12,978,987,1234,883,-256,104
1992,1385,10,19,645,1440,723,1171,-78,269
1992,1386,15,12,1041,1015,1211,918,-170,97
1992,1387,23,5,1576,397,1871,360,-295,37
1992,1388,17,12,1038,849,1219,723,-181,126
1992,1389,21,8,1311,571,1598,494,-287,77
1992,1390,10,18,699,1421,774,1117,-75,304
1992,1391,17,9,1180,775,1432,701,-252,74
1992,1393,9,21,635,1616,713,1416,-78,200
1992,1395,10,22,666,1664,766,1354,-100,310
1992,1396,12,17,741,1307,889,1100,-148,207
1992,1397,14,17,984,1428,1145,1242,-161,186
1992,1398,22,2,1450,141,1813,121,-363,20
1992,1399,15,11,1202,998,1390,844,-188,154
1992,1400,11,22,925,2030,1037,1740,-112,290
1992,1401,22,6,1414,420,1709,374,-295,46
1992,1402,20,5,1150,386,1429,316,-279,70
1992,1403,14,13,1002,990,1113,886,-111,104
1992,1405,20,7,1108,468,1357,398,-249,70
1992,1406,13,16,993,1434,1125,1109,-132,325
1992,1408,8,21,584,1825,638,1477,-54,348
1992,1409,13,16,917,1205,1042,1016,-125,189
1992,1410,26,2,1560,111,1975,109,-415,2
1992,1411,14,13,933,1096,1183,924,-250,172
1992,1412,8,19,511,1626,595,1275,-84,351
1992,1414,22,7,1454,526,1747,452,-293,74
1992,1416,18,10,1257,851,1504,752,-247,99
1992,1417,4,24,297,2054,328,1716,-31,338
1992,1418,10,20,746,1661,831,1423,-85,238
1992,1419,9,16,663,1234,744,1053,-81,181
1992,1420,19,10,1475,900,1746,787,-271,113
1992,1421,18,7,1184,515,1493,484,-309,31
1992,1422,21,7,1199,505,1507,470,-308,35
1992,1423,15,11,1023,890,1179,784,-156,106
1992,1424,2,25,163,1980,181,1571,-18,409
1992,1425,5,22,356,1761,438,1547,-82,214
1992,1426,13,14,880,1242,1018,1031,-138,211
1992,1427,8,18,590,1503,700,1256,-110,247
1992,1428,10,17,609,1178,704,965,-95,213
1992,1429,12,14,858,1118,995,981,-137,137
1992,1431,6,21,377,1571,416,1288,-39,283
1992,1433,15,14,1102,1065,1239,943,-137,122
1992,1434,21,5,1256,359,1571,342,-315,17
1992,1435,14,15,932,1248,1132,1061,-200,187
1992,1436,13,14,861,995,956,835,-95,160
1992,1437,14,14,866,1033,1046,871,-180,162
1992,1438,13,15,787,1144,888,929,-101,215
1992,1439,18,10,1058,764,1256,642,-198,122
1992,1440,18,8,1150,572,1412,506,-262,66
1992,1441,16,8,1148,748,1404,647,-256,101
1992,1442,18,9,1184,752,1419,661,-235,91
1992,1443,10,19,747,1579,836,1365,-89,214
1992,1444,8,21,480,1570,542,1370,-62,200
1992,1447,12,16,839,1172,942,1070,-103,102
1992,1448,11,17,782,1323,878,1027,-96,296
1992,1449,17,8,1026,544,1243,490,-217,54
1992,1450,10,18,712,1552,818,1196,-106,356
1992,1451,13,15,942,1277,1094,1048,-152,229
1992,1452,11,20,863,1611,954,1347,-91,264
1992,1453,4,24,257,1663,294,1253,-37,410
1992,1454,8,18,564,1477,649,1223,-85,254
1992,1455,20,8,1152,558,1439,432,-287,126
1992,1456,19,8,1276,589,1541,522,-265,67
1992,1457,21,3,1231,188,1514,183,-283,5
1992,1458,18,13,1116,1110,1326,881,-210,229
1992,1460,13,14,902,1183,1043,1019,-141,164
1992,1461,13,15,896,1155,991,956,-95,199
1992,1462,12,15,907,1228,1037,1002,-130,226
1992,1463,9,16,509,1115,596,968,-87,147
1992,1464,21,3,1313,232,1640,215,-327,17
1993,1102,19,5,1121,372,1423,298,-302,74
1993,1103,18,6,1072,407,1254,360,-182,47
1993,1104,12,16,833,1302,923,1157,-90,145
1993,1106,11,12,899,1052,1000,923,-101,129
1993,1108,19,7,1430,639,1692,545,-262,94
1993,1110,17,11,1217,914,1385,783,-168,131
1993,1111,15,12,1196,985,1363,867,-167,118
1993,1112,3,24,217,2062,241,1693,-24,369
1993,1113,9,17,696,1522,841,1306,-145,216
1993,1114,12,14,736,1060,965,911,-229,149
1993,1116,8,20,666,1781,736,1449,-70,332
1993,1117,12,15,805,1084,884,896,-79,188
1993,1119,22,4,1279,276,1628,260,-349,16
1993,1120,11,13,829,1095,904,959,-75,136
1993,1122,20,6,1344,424,1702,389,-358,35
1993,1123,7,24,455,1736,517,1460,-62,276
1993,1124,11,14,858,1271,950,1150,-92,121
1993,1126,24,3,1478,254,1888,233,-410,21
1993,1129,7,19,497,1443,551,1244,-54,199
1993,1130,12,16,775,1194,861,991,-86,203
1993,1131,21,6,1420,460,1747,425,-327,35
1993,1132,16,10,939,729,1107,643,-168,86
1993,1133,16,10,895,654,1092,510,-197,144
1993,1135,19,7,1119,495,1417,458,-298,37
1993,1137,6,22,409,1847,481,1538,-72,309
1993,1138,22,5,1425,356,1826,314,-401,42
1993,1139,17,10,1065,744,1324,612,-259,132
1993,1140,8,24,563,2033,632,1673,-69,360
1993,1141,18,6,1257,484,1527,441,-270,43
1993,1143,8,19,567,1589,646,1334,-79,255
1993,1144,13,11,827,890,1015,788,-188,102
1993,1145,18,10,1076,700,1314,586,-238,114
1993,1147,17,6,1311,563,1514,528,-203,35
1993,1148,19,4,1350,347,1671,311,-321,36
1993,1149,18,5,1135,419,1405,368,-270,51
1993,1150,13,15,859,1178,974,992,-115,186
1993,1151,6,22,438,1912,476,1570,-38,342
1993,1152,23,3,1566,258,2131,233,-565,25
1993,1153,4,24,250,1809,284,1337,-34,472
1993,1154,17,10,1034,703,1310,618,-276,85
1993,1155,12,16,859,1369,1020,1144,-161,225
1993,1156,6,22,391,1747,474,1512,-83,235
1993,1157,9,19,630,1499,703,1280,-73,219
1993,1158,8,15,467,1070,553,887,-86,183
1993,1159,10,18,738,1412,812,1236,-74,176
1993,1160,17,10,1125,878,1357,677,-232,201
1993,1161,12,14,771,1099,889,952,-118,147
1993,1162,10,15,680,1111,772,928,-92,183
1993,1163,12,15,796,1229,908,1013,-112,216
1993,1164,7,22,437,1711,537,1364,-100,347
1993,1165,10,15,628,1113,782,947,-154,166
1993,1166,18,8,1098,569,1293,505,-195,64
1993,1168,12,14,804,1041,929,892,-125,149
1993,1169,17,8,1074,581,1262,545,-188,36
1993,1170,24,2,1473,126,1881,122,-408,4
1993,1171,15,10,902,776,1089,645,-187,131
1993,1172,14,11,948,868,1112,747,-164,121
1993,1173,24,4,1412,299,1733,276,-321,23
1993,1174,7,21,457,1633,533,1406,-76,227
1993,1175,16,12,1061,981,1294,896,-233,85
1993,1177,15,16,1051,1236,1251,1075,-200,161
1993,1178,12,13,868,1076,999,922,-131,154
1993,1179,14,13,978,992,1137,872,-159,120
1993,1180,7,22,441,1680,508,1436,-67,244
1993,1181,7,23,512,2072,554,1573,-42,499
1993,1182,15,13,1073,1023,1188,897,-115,126
1993,1183,17,9,1085,638,1331,587,-246,51
1993,1184,12,13,895,999,976,862,-81,137
1993,1185,17,11,1061,851,1255,716,-194,135
1993,1186,20,5,1288,358,1553,318,-265,40
1993,1187,16,11,1051,782,1236,660,-185,122
1993,1190,10,16,749,1348,868,1153,-119,195
1993,1191,6,22,376,1723,434,1371,-58,352
1993,1192,17,10,1125,693,1321,604,-196,89
1993,1193,13,14,837,953,984,843,-147,110
1993,1196,11,16,724,1269,814,1087,-90,182
1993,1197,18,9,1211,740,1530,672,-319,68
1993,1198,10,17,654,1165,705,1071,-51,94
1993,1199,9,22,710,1972,780,1691,-70,281
1993,1200,16,14,965,978,1208,854,-243,124
1993,1201,15,13,932,936,1157,854,-225,82
1993,1202,17,10,1217,792,1416,664,-199,128
1993,1203,8,19,550,1506,596,1257,-46,249
1993,1204,9,16,690,1295,811,1091,-121,204
1993,1206,21,6,1370,449,1661,399,-291,50
1993,1207,12,13,725,976,854,782,-129,194
1993,1208,13,14,917,1149,1029,984,-112,165
1993,1209,14,9,1008,662,1176,595,-168,67
1993,1210,10,19,710,1546,821,1343,-111,203
1993,1211,9,17,593,1300,650,1073,-57,227
1993,1212,14,9,1046,830,1214,733,-168,97
1993,1216,14,13,932,1024,1098,848,-166,176
1993,1217,20,5,1340,386,1663,349,-323,37
1993,1218,16,12,1054,907,1204,771,-150,136
1993,1220,18,8,1040,584,1338,506,-298,78
1993,1221,6,23,447,2052,510,1730,-63,322
1993,1222,8,21,569,1746,629,1466,-60,280
1993,1224,18,8,1195,591,1480,518,-285,73
1993,1225,7,19,460,1422,513,1215,-53,207
1993,1226,18,9,1185,720,1399,605,-214,115
1993,1227,15,15,1097,1252,1232,1098,-135,154
1993,1228,12,18,868,1418,960,1230,-92,188
1993,1229,10,18,596,1252,699,1071,-103,181
1993,1231,3,28,224,2483,236,2008,-12,475
1993,1232,17,10,1070,741,1254,625,-184,116
1993,1233,11,15,766,1192,897,1036,-131,156
1993,1234,8,21,563,1683,625,1268,-62,415
1993,1235,10,19,699,1662,824,1208,-125,454
1993,1238,8,20,605,1796,727,1527,-122,269
1993,1239,22,5,1496,419,1740,363,-244,56
1993,1241,8,21,545,1807,609,1458,-64,349
1993,1242,6,22,402,1873,447,1500,-45,373
1993,1243,10,19,637,1419,765,1201,-128,218
1993,1245,17,10,995,747,1181,642,-186,105
1993,1246,3,26,257,2252,280,1749,-23,503
1993,1247,13,13,776,998,962,879,-186,119
1993,1248,20,6,1240,485,1503,434,-263,51
1993,1249,12,14,916,1374,1049,1023,-133,351
1993,1250,22,4,1622,289,1901,263,-279,26
1993,1251,14,11,1022,830,1121,699,-99,131
1993,1253,9,20,589,1667,682,1395,-93,272
1993,1254,17,10,1294,747,1447,692,-153,55
1993,1256,21,7,1192,518,1578,461,-386,57
1993,1257,8,19,603,1565,664,1338,-61,227
1993,1258,20,5,1335,352,1536,319,-201,33
1993,1259,25,2,1443,128,1791,110,-348,18
1993,1260,20,5,1300,340,1556,322,-256,18
1993,1261,10,22,692,1841,848,1519,-156,322
1993,1263,17,10,1136,705,1311,612,-175,93
1993,1264,6,23,417,1711,490,1440,-73,271
1993,1265,16,13,1026,1018,1201,910,-175,108
1993,1266,7,20,423,1582,467,1151,-44,431
1993,1267,11,14,785,1146,900,1022,-115,124
1993,1268,16,12,1162,1073,1404,822,-242,251
1993,1269,6,23,366,1786,426,1439,-60,347
1993,1270,15,11,1058,873,1172,786,-114,87
1993,1271,15,10,874,735,1152,674,-278,61
1993,1272,11,18,716,1474,817,1251,-101,223
1993,1273,14,10,896,809,1074,716,-178,93
1993,1274,17,8,1149,628,1326,552,-177,76
1993,1275,8,19,461,1253,542,1012,-81,241
1993,1276,4,26,315,2164,336,1822,-21,342
1993,1277,12,15,803,1190,886,944,-83,246
1993,1278,10,16,676,1295,792,991,-116,304
1993,1279,18,7,1225,497,1526,449,-301,48
1993,1280,16,11,1042,842,1330,700,-288,142
1993,1281,13,16,915,1216,1017,972,-102,244
1993,1282,12,11,790,987,944,815,-154,172
1993,1283,10,18,593,1186,667,999,-74,187
1993,1284,17,11,1023,782,1233,623,-210,159
1993,1285,11,14,691,900,767,790,-76,110
1993,1286,18,7,1155,473,1324,416,-169,57
1993,1287,20,6,1462,496,1895,433,-433,63
1993,1288,17,8,1307,642,1584,557,-277,85
1993,1290,13,11,967,1005,1142,871,-175,134
1993,1291,15,13,971,1041,1145,925,-174,116
1993,1292,15,8,931,620,1144,538,-213,82
1993,1293,12,16,902,1417,1043,1256,-141,161
1993,1296,12,13,758,953,931,876,-173,77
1993,1298,18,7,1095,468,1334,404,-239,64
1993,1299,11,12,720,938,892,827,-172,111
1993,1301,19,8,1242,593,1544,531,-302,62
1993,1302,16,7,1160,573,1367,531,-207,42
1993,1304,10,20,703,1715,827,1426,-124,289
1993,1305,17,8,1234,629,1466,581,-232,48
1993,1306,21,6,1259,420,1568,370,-309,50
1993,1307,6,23,343,1665,442,1382,-99,283
1993,1308,7,22,473,1762,539,1550,-66,212
1993,1309,3,25,175,1876,189,1512,-14,364
1993,1310,6,23,414,1890,442,1597,-28,293
1993,1311,12,12,828,1005,1016,886,-188,119
1993,1314,4,28,282,2483,325,1858,-43,625
1993,1317,21,5,1624,425,1880,381,-256,44
1993,1318,8,20,578,1546,684,1269,-106,277
1993,1319,15,8,942,626,1127,550,-185,76
1993,1320,15,11,840,754,1039,688,-199,66
1993,1321,19,7,1263,547,1526,462,-263,85
1993,1322,13,9,1043,864,1190,751,-147,113
1993,1323,18,9,1110,603,1341,557,-231,46
1993,1325,13,13,889,918,1008,817,-119,101
1993,1326,12,15,781,1157,930,978,-149,179
1993,1328,11,16,814,1548,889,1238,-75,310
1993,1329,8,15,549,1177,643,962,-94,215
1993,1330,7,19,530,1665,639,1478,-109,187
1993,1332,20,6,1441,458,1673,403,-232,55
1993,1333,14,11,891,811,1001,716,-110,95
1993,1334,11,15,664,1070,743,911,-79,159
1993,1335,4,22,249,1651,294,1348,-45,303
1993,1336,20,7,1225,465,1486,429,-261,36
1993,1337,7,19,436,1394,486,1191,-50,203
1993,1338,10,17,679,1419,779,1279,-100,140
1993,1339,18,7,1200,483,1452,430,-252,53
1993,1341,23,,1751,,2390,,-639,
1993,1343,11,14,565,851,673,688,-108,163
1993,1344,11,17,765,1234,861,959,-96,275
1993,1345,9,18,618,1314,705,1128,-87,186
1993,1347,16,11,1200,971,1434,864,-234,107
1993,1348,10,18,694,1482,777,1267,-83,215
1993,1349,9,17,654,1371,706,1184,-52,187
1993,1350,12,15,814,1122,925,950,-111,172
1993,1351,10,19,685,1465,777,1249,-92,216
1993,1352,18,9,1118,682,1333,617,-215,65
1993,1353,15,12,1139,1009,1286,848,-147,161
1993,1354,13,14,857,1098,1022,946,-165,152
1993,1356,9,22,624,1775,712,1422,-88,353
1993,1358,19,4,1379,330,1665,286,-286,44
1993,1359,10,15,600,1171,694,1012,-94,159
1993,1360,13,11,889,791,1035,673,-146,118
1993,1361,21,4,1330,254,1653,232,-323,22
1993,1362,12,17,857,1385,1021,1223,-164,162
1993,1363,19,7,1204,473,1393,444,-189,29
1993,1364,10,18,668,1278,724,1053,-56,225
1993,1365,11,16,684,1168,783,1027,-99,141
1993,1368,15,8,1047,621,1250,565,-203,56
1993,1369,11,15,868,1203,1049,1048,-181,155
1993,1371,6,26,404,2087,436,1719,-32,368
1993,1372,14,10,925,798,1068,725,-143,73
1993,1373,13,15,899,1096,977,933,-78,163
1993,1374,7,18,503,1484,592,1291,-89,193
1993,1375,13,15,919,1362,1046,1153,-127,209
1993,1376,18,8,1296,693,1542,612,-246,81
1993,1378,19,8,1303,639,1561,525,-258,114
1993,1379,17,10,1323,817,1501,714,-178,103
1993,1380,9,16,766,1630,818,1327,-52,303
1993,1381,12,11,824,894,1006,738,-182,156
1993,1382,16,10,1099,751,1323,624,-224,127
1993,1383,18,9,1226,760,1478,708,-252,52
1993,1384,18,9,1179,628,1369,555,-190,73
1993,1385,10,18,721,1382,820,1185,-99,197
1993,1386,10,18,657,1392,763,1199,-106,193
1993,1387,17,10,966,881,1168,673,-202,208
1993,1388,16,10,912,725,1150,657,-238,68
1993,1389,18,9,1088,670,1317,576,-229,94
1993,1390,22,6,1423,411,1704,298,-281,113
1993,1391,14,10,973,872,1099,778,-126,94
1993,1393,9,19,648,1553,749,1319,-101,234
1993,1395,22,6,1387,428,1704,394,-317,34
1993,1396,12,17,772,1231,919,1023,-147,208
1993,1397,17,13,1235,1126,1466,923,-231,203
1993,1398,8,19,565,1589,679,1357,-114,232
1993,1399,13,14,1019,1310,1219,1169,-200,141
1993,1400,17,10,1292,863,1472,750,-180,113
1993,1401,17,10,1101,755,1295,637,-194,118
1993,1402,13,12,905,907,991,813,-86,94
1993,1403,11,16,808,1320,912,1160,-104,160
1993,1404,19,5,1239,399,1500,372,-261,27
1993,1405,15,12,868,948,1013,854,-145,94
1993,1406,9,17,624,1374,754,1222,-130,152
1993,1408,8,20,553,1594,651,1295,-98,299
1993,1409,14,13,1001,1020,1152,866,-151,154
1993,1410,20,2,1251,142,1668,138,-417,4
1993,1411,14,10,997,833,1195,751,-198,82
1993,1412,13,17,794,1358,927,1056,-133,302
1993,1414,21,5,1464,400,1664,374,-200,26
1993,1416,17,8,1268,633,1449,560,-181,73
1993,1417,10,21,710,1712,826,1529,-116,183
1993,1418,13,17,956,1435,1081,1223,-125,212
1993,1419,4,25,284,2236,310,1815,-26,421
1993,1420,16,10,1228,878,1417,776,-189,102
1993,1421,23,2,1533,171,1932,161,-399,10
1993,1422,17,10,1090,769,1325,671,-235,98
1993,1423,11,15,837,1267,946,1097,-109,170
1993,1424,7,21,567,1951,592,1675,-25,276
1993,1425,11,14,725,1049,877,887,-152,162
1993,1426,12,13,931,1089,1104,998,-173,91
1993,1427,14,12,1066,999,1278,886,-212,113
1993,1428,6,22,422,1739,479,1350,-57,389
1993,1429,17,8,1285,650,1486,551,-201,99
1993,1431,12,18,776,1362,867,1190,-91,172
1993,1433,9,20,669,1642,755,1325,-86,317
1993,1434,16,11,1196,938,1348,818,-152,120
1993,1435,5,26,345,2250,393,1775,-48,475
1993,1436,17,9,1170,783,1431,699,-261,84
1993,1437,19,8,1232,675,1365,507,-133,168
1993,1438,9,19,570,1526,671,1285,-101,241
1993,1439,18,9,1149,651,1373,541,-224,110
1993,1440,22,4,1391,298,1723,272,-332,26
1993,1441,20,4,1324,324,1610,243,-286,81
1993,1442,19,7,1323,570,1543,521,-220,49
1993,1443,5,24,420,2098,444,1647,-24,451
1993,1444,12,16,763,1127,947,923,-184,204
1993,1447,12,18,751,1346,857,1172,-106,174
1993,1448,8,19,544,1552,641,1225,-97,327
1993,1449,14,11,968,745,1099,647,-131,98
1993,1450,12,13,772,1009,858,773,-86,236
1993,1451,7,17,515,1349,580,1182,-65,167
1993,1452,11,16,769,1285,854,1047,-85,238
1993,1453,14,13,849,936,962,737,-113,199
1993,1454,4,22,305,1749,367,1451,-62,298
1993,1455,17,9,1035,633,1277,539,-242,94
1993,1456,13,12,911,931,1034,835,-123,96
1993,1457,16,12,1269,1055,1446,925,-177,130
1993,1458,13,14,929,1154,1079,962,-150,192
1993,1460,9,19,669,1839,752,1450,-83,389
1993,1461,15,11,937,828,1114,700,-177,128
1993,1462,5,22,371,1603,419,1334,-48,269
1993,1463,16,9,826,530,955,445,-129,85
1993,1464,23,3,1599,265,1954,230,-355,35
1994,1102,18,4,1165,313,1383,286,-218,27
1994,1103,18,7,1060,474,1277,405,-217,69
1994,1104,9,19,569,1490,708,1223,-139,267
1994,1106,10,15,755,1371,864,1168,-109,203
1994,1108,19,3,1401,259,1788,232,-387,27
1994,1110,19,8,1360,689,1651,598,-291,91
1994,1111,11,15,763,1236,886,1106,-123,130
1994,1112,5,25,407,2309,433,1825,-26,484
1994,1113,12,15,880,1211,995,1040,-115,171
1994,1114,15,12,1024,951,1183,772,-159,179
1994,1116,3,24,213,2307,228,1820,-15,487
1994,1117,12,15,718,1121,837,945,-119,176
1994,1119,20,6,1485,504,1790,456,-305,48
1994,1120,17,11,1271,1017,1446,820,-175,197
1994,1122,16,10,1184,855,1391,761,-207,94
1994,1123,12,14,859,1060,971,901,-112,159
1994,1124,11,16,918,1390,1070,1190,-152,200
1994,1126,18,9,1189,727,1487,673,-298,54
1994,1129,11,15,719,1152,815,999,-96,153
1994,1130,10,19,703,1562,776,1266,-73,296
1994,1131,16,11,1110,903,1297,776,-187,127
1994,1132,10,15,620,1142,673,989,-53,153
1994,1133,7,20,405,1447,514,1223,-109,224
1994,1135,14,12,843,841,1071,787,-228,54
1994,1137,17,9,1327,821,1463,700,-136,121
1994,1138,18,9,1197,705,1472,598,-275,107
1994,1139,13,15,944,1149,1116,934,-172,215
1994,1140,9,19,636,1582,717,1384,-81,198
1994,1141,20,5,1112,328,1443,306,-331,22
1994,1143,7,22,499,1802,580,1504,-81,298
1994,1144,9,18,584,1323,669,1138,-85,185
1994,1145,6,22,413,1813,494,1523,-81,290
1994,1147,12,14,904,1189,1011,1021,-107,168
1994,1148,22,1,1580,85,2069,81,-489,4
1994,1149,18,8,1428,691,1615,619,-187,72
1994,1150,12,16,744,1205,845,1036,-101,169
1994,1151,6,21,446,1754,506,1560,-60,194
1994,1152,23,3,1746,277,2272,234,-526,43
1994,1153,9,22,605,1808,692,1421,-87,387
1994,1154,16,9,1039,651,1194,566,-155,85
1994,1155,15,16,996,1295,1157,1067,-161,228
1994,1156,15,13,971,1044,1189,910,-218,134
1994,1157,11,13,749,1064,908,933,-159,131
1994,1158,3,22,194,1701,219,1398,-25,303
1994,1159,12,17,939,1421,1046,1217,-107,204
1994,1160,17,10,1186,806,1460,674,-274,132
1994,1161,13,13,875,1070,982,898,-107,172
1994,1162,20,5,1125,345,1487,279,-362,66
1994,1163,4,27,301,2388,326,1829,-25,559
1994,1164,8,20,491,1607,563,1256,-72,351
1994,1165,18,6,1068,451,1385,384,-317,67
1994,1166,21,6,1301,438,1628,374,-327,64
1994,1168,19,6,1277,501,1484,432,-207,69
1994,1169,18,7,1220,582,1546,494,-326,88
1994,1170,26,1,1580,80,2173,76,-593,4
1994,1171,16,9,980,656,1254,537,-274,119
1994,1172,7,20,503,1522,542,1345,-39,177
1994,1173,21,5,1385,461,1719,328,-334,133
1994,1174,13,12,896,905,1000,787,-104,118
1994,1175,19,6,1228,496,1549,458,-321,38
1994,1177,11,16,746,1378,869,1109,-123,269
1994,1178,12,13,808,999,958,895,-150,104
1994,1179,16,10,1203,792,1376,689,-173,103
1994,1180,4,24,264,1902,291,1578,-27,324
1994,1181,5,23,353,1849,389,1506,-36,343
1994,1182,12,16,758,1260,910,1076,-152,184
1994,1183,15,11,951,824,1140,767,-189,57
1994,1184,14,11,1040,962,1203,800,-163,162
1994,1185,12,13,853,997,1024,853,-171,144
1994,1186,20,2,1256,157,1622,143,-366,14
1994,1187,12,15,816,1176,917,973,-101,203
1994,1190,14,14,1041,1254,1200,1074,-159,180
1994,1191,10,19,661,1544,710,1259,-49,285
1994,1192,13,13,898,967,1040,866,-142,101
1994,1193,19,8,1253,676,1475,618,-222,58
1994,1194,23,3,1553,235,2034,225,-481,10
1994,1196,7,25,490,1945,555,1643,-65,302
1994,1197,23,3,1427,211,1800,197,-373,14
1994,1198,16,11,1003,852,1182,727,-179,125
1994,1199,14,13,963,1115,1118,902,-155,213
1994,1200,15,11,964,858,1168,744,-204,114
1994,1201,10,18,673,1429,749,1246,-76,183
1994,1202,17,10,1181,770,1408,698,-227,72
1994,1203,11,17,631,1333,748,1122,-117,211
1994,1204,14,10,989,797,1119,702,-130,95
1994,1206,17,10,1380,1005,1657,882,-277,123
